dur_ns,gap_ns
4288,0
3666,20990863
4489,21995383
4268,21013515
4268,21082675
5130,21914331
4509,21001242
4067,21008456
4107,21991747
6722,20989530
4829,20978238
3667,21992588
3717,21040717
3386,21003025
5500,22083059
5029,20911212
8536,21007303
3456,21990986
3877,21006181
3287,20954994
3036,21996526
2124,20986054
3877,21057457
4598,22016554
4068,21081262
4959,20907486
4328,22024538
4208,21080551
4468,20918647
4769,21993440
3977,20988408
3697,20956297
4057,22039587
4508,21104005
4318,20893098
4790,22003228
3937,21107072
2555,20845829
5821,22192775
4589,20964072
3697,20852933
6403,22059654
4378,20993468
7624,20987576
5019,21994863
4167,21117631
3767,20891054
5089,21993350
4008,21002965
2635,20953783
3957,22041440
4308,21004508
3758,21012232
3837,22108287
4138,20877779
4568,21003737
3757,22007657
5050,21117630
4197,20885605
4268,21981437
3817,21131016
3968,20888820
6733,21991887
4739,21003938
4318,21146986
4619,21857764
4188,21118613
4117,20998157
6061,21869987
3217,20947310
2615,21018705
5671,22012105
4047,21021781
4058,20998947
4178,22001566
4288,21137468
5931,20856009
2726,21955037
3377,21014557
7314,21068589
3967,22118526
3897,20855397
3807,20995982
2765,21958785
3767,21187472
4208,20854656
3847,22000303
4478,20996904
4138,21015719
2825,21956290
3346,21008997
4128,21026840
3847,22003930
4048,20993196
4108,21003827
4138,22006845
4298,20990402
3777,21156754
4338,21843468
3847,20993457
4077,21007444
4178,21995604
4037,21005961
3998,20998536
4178,22002397
4138,21011451
3897,20985563
4127,21999632
3977,21014657
2685,20948943
4368,22041110
4058,21005590
4188,20995010
3857,22008379
4108,20986273
3657,20960145
2795,21976939
2595,21003596
4188,21062708
4338,22014680
4227,20984741
4348,21000721
4048,21999280
4308,21000571
4298,21013876
4339,21987839
2985,20960045
4548,21039414
3556,21981718
4087,21032651
4278,20999117
4528,21988822
3927,21010389
4358,20981194
4298,22008458
4258,21001573
4558,21006442
4468,22005132
4269,20998977
4599,20976155
4539,22013157
4097,21009047
4008,20990371
4699,21999862
4338,21000581
4158,21002955
3647,21948345
5450,21074881
4548,20976205
4348,22002607
4198,20995702
5781,21018714
4098,22136339
4058,21002655
4158,20845038
4128,22148372
3877,20846811
4459,20999849
4128,22153161
3907,20797739
3497,21011641
4188,22038976
4609,21002865
4328,21001623
3426,21940751
3637,21008756
4599,21049833
4538,21998590
4308,21161594
4057,21011321
3526,21780479
4118,20996473
2925,21027792
4328,22024669
3938,21003666
4399,20997585
4178,21996526
3877,21165061
4018,20837393
4108,22153241
4489,20848464
7374,20985653
4138,22012966
3797,20995872
4207,20999319
4027,22165524
5661,20845899
4338,20996002
4368,22245144
7875,20774966
3747,20974472
3787,22167337
4087,20839087
3857,20989149
3888,22008989
4939,21170912
3968,20823677
4158,22019209
2685,20947441
2836,20994779
2665,21993090
4509,21003596
4077,20992486
2856,22002186
3256,21005651
2655,20989409
2765,22008258
3156,20999669
2846,21001963
3496,21997729
3196,21001833
3075,21004879
3567,22002086
3747,21019757
4558,20982076
3827,21995073
3587,20995260
2544,21002946
3266,21996796
2475,21016671
2585,20981294
1994,21996576
3306,21012664
3527,20999278
3406,21994733
3256,20988979
3026,21013515
2605,21999111
3446,21017933
2695,20974011
2715,21997187
2966,21011110
3046,20998607
2204,22001866
3486,21000501
2966,21005800
3807,21996497
3577,21051446
3998,20998787
3717,21996576
3136,20961578
3566,21049553
3586,21992298
3046,20969682
6282,21011231
2835,21949227
2705,21019446
2756,21000500
4568,22047052
4207,21008035
4329,20997554
3757,22011404
3657,20995191
2424,20939636
4489,22054705
4338,21011862
8075,21006442
7714,21975857
3246,21006602
3697,20950496
3327,21996446
3547,21066565
3477,20934887
2995,22001175
2245,20997865
3767,21064341
4108,21999702
4779,20986805
4078,21003977
4328,21947083
2424,20996002
3537,21010329
3106,21990244
2274,21002124
2184,21008766
5140,22057160
3717,20989500
2475,20949865
3517,21998009
2574,20996774
3627,21008255
3757,22018918
3737,21031489
3697,20991513
3817,21954818
3045,21001122
3086,20991573
4689,22057060
5651,21017052
3827,20976205
4519,22007486
2525,20941209
2515,21007073
2284,21990585
3005,21010660
4008,21050234
4188,21999662
6342,20999639
4348,21001352
2565,21951130
4379,21049232
2665,20961778
4328,22045128
4058,21153398
4068,21003246
3907,21852144
4118,20987556
3677,20986675
2665,21962271
3838,21051677
3477,20959764
3897,22037113
4939,21003035
3857,21167465
5430,21794656
3537,20989219
3897,21028694
3827,22020541
4348,21000220
3116,20958321
3847,22041942
4649,20999939
4137,21169219
4048,21990935
3877,20846501
3917,21156464
3697,21995324
5009,20853714
2375,20934666
4007,22056790
3296,20992736
5991,21002665
3647,22001435
3727,21004568
3958,21002965
3998,22006054
4368,20954414
3086,21016110
4338,21996116
7114,21028152
2886,20949224
2445,21990615
4749,21039845
2885,20973179
2445,21988220
6262,21041087
3296,20966948
5370,22029528
4228,20991433
5690,21026430
3827,21949547
3657,21221286
3918,20833957
4188,21999362
2935,20951919
4929,21032952
4058,22013628
7164,21060443
8616,21185219
3937,21917507
3977,20847543
7344,21051867
5150,21966870
6562,20977087
7203,21016521
4519,21989031
3737,21160903
2404,20789353
2545,21991466
6061,21041278
3617,20980463
3627,22017896
4068,21001382
4719,21006562
4308,22001466
2856,20950616
2405,20984641
4037,22069183
3697,20994689
3596,21002736
4068,21954506
2785,21007414
2365,20975293
3527,22014029
4328,21047650
4909,21003396
2565,21937314
2525,21000551
4148,21053751
6713,22003138
4248,20999930
4098,21001963
4057,22000304
4328,21001252
3888,21009647
4148,21986818
2935,20981956
2425,20962599
3656,22029108
3927,21030066
4248,20999208
3947,22010623
2434,20939596
3496,21002284
2495,21985505
4398,21012363
4438,21003256
2285,21970246
3055,21023655
3397,20995731
3978,22067139
4228,21004178
5030,20989710
6071,21984454
4178,21020478
7604,20996974
3477,21949547
3376,20997165
3888,21046707
3828,22002818
4588,21011051
3447,20987355
1883,21938117
3276,21014036
3527,21075151
3767,21990595
3927,21002685
3516,20937652
4489,22000513
3467,20985683
2244,21029706
4138,22042132
3978,20986654
4439,21003336
3967,22000855
4298,20998717
3868,21010058
3818,21985896
3918,21008115
4368,21022092
3757,21995043
3126,20954804
3747,21028103
4138,21995915
3957,21013145
5280,20989409
3657,21951652
5650,21042550
3877,21007343
3977,21997268
3597,20954213
2484,20993538
7545,22095552
3487,20918917
4789,21037441
3787,22015842
4017,20993207
4067,20993718
3867,22003409
4148,20998937
3697,20998137
3998,22000723
3707,21000311
4038,21012643
4027,21986969
3657,21003786
3887,20997696
4037,21996406
3657,21001873
4117,21001663
3967,21998530
5480,21008085
3877,20978970
4177,22029879
3957,20983909
5380,20985072
3917,22019709
6532,20958512
5200,21013885
5861,21970738
1733,20982437
1823,21001933
2344,22017175
2514,21024336
3878,21042870
4719,21986287
4078,21010870
4108,20988789
5731,21984834
4228,21012784
4809,20999128
4208,22004942
3747,20983188
6663,21060593
8857,21947604
6242,20962840
3767,20998297
15079,22056378
2836,20922594
2855,21009268
3978,22006885
5640,21066596
5731,20990241
5971,21998149
3476,20947501
6412,21036398
5401,22018988
5520,21013656
5601,20977437
4869,22019109
5771,20996593
4829,21001082
4378,21984704
5049,21001593
4919,20996162
4127,22001446
5481,21008144
5270,20999860
6663,21997478
7043,21011431
5841,21001563
6021,21974765
5170,21015569
5450,21003757
5381,21996125
4880,20994209
5711,21006372
5230,21998339
5109,21001133
5480,21003877
5500,21996796
4899,21013836
4368,20979040
5571,22007236
5440,21006192
6161,20992626
5060,22000914
4809,20995110
5310,20965656
5431,22047902
5821,20992907
4879,21002865
4248,21956430
3417,20981565
5380,21061596
5350,21995905
6282,21004388
8256,21038562
5340,21964506
5521,21010760
10771,21017743
6993,21956080
4879,20966477
4769,20991333
5330,22064184
4308,20949545
3807,21033583
4668,21992218
7715,21022652
4769,21020929
5290,21974565
4909,20997565
4528,21008356
4779,22002346
3707,20990182
3848,20995581
5100,22002738
5541,20981575
5530,21017794
5140,22001154
4458,21001463
4859,21015078
4589,21996055
5310,21002735
5611,20987526
4638,22011966
5421,21001622
6191,20980554
5661,22001655
5460,21023585
5239,20979441
4829,22000684
4138,20990041
5220,21023534
4348,21936824
5541,21007924
5460,21013726
5410,22043044
13355,21141616
4368,20787891
3256,22002758
4178,21007894
3977,21007254
5250,22051289
5340,21005520
6072,20984581
5450,21989353
5210,21029956
5501,20988227
5150,21993982
5300,21011141
5130,20988628
6723,21991627
6883,21002635
2425,20951037
4068,22047232
3466,21000170
4047,21006793
4218,21999461
3707,21001203
4058,20997995
4288,21998550
3406,20983840
5401,21014907
3126,21968674
4388,21037080
4608,21000661
4529,21996285
4298,21003186
4278,21013515
4679,21988491
4398,20998537
4138,21000861
4428,22014671
4228,20984300
4549,21001342
4228,21998520
4448,21000741
4839,21004909
4338,22008389
4178,21004307
4138,20988569
3476,21940210
4829,21023965
3035,20977548
4859,22004060
4398,20999569
3857,20991163
8566,22020010
10740,21076955
2966,20909459
14468,22104379
9969,20932132
7193,20981606
6963,21996646
3527,20991223
5250,20991774
5090,22016915
6181,21010550
6062,21003646
7604,22016755
3647,20959774
4208,21012092
1974,21978653
2605,21006392
2415,21002905
2756,21994051
2334,21004890
2114,20996182
3647,22005433
3727,21001212
3106,21001533
3957,21998740
2194,20999529
3056,21018054
3908,22015962
3066,20966497
3727,21001343
2585,21998159
4098,21002384
3226,20996784
2966,22014139
2695,20990522
3216,20991744
2745,22007958
3436,20996794
3617,21003356
2465,21995063
3426,20989821
4509,21025367
3507,21992759
3968,21004378
4629,20990041
3526,21996136
3226,21007484
2855,20996934
2956,21997678
3777,21002956
2816,21000821
2926,21998019
3767,21000221
3937,21005821
3417,22000533
4077,20997706
3597,20997655
2835,21999622
3868,21002374
3377,20996303
2905,22001526
2976,21006842
2995,21024126
2925,21968343
2795,21002855
3086,20993227
4118,22011614
4528,21003387
2685,21034214
5300,21980486
3236,20981585
2805,20988939
4919,22017095
5851,21034124
5109,20994600
5530,21965748
3045,20977698
4609,21039263
3206,21984534
2505,20996323
2816,21001332
3978,21998490
5631,21036228
6633,21007464
7735,21998630
3527,20960676
3577,20999198
5230,22007096
4628,21018816
4478,20993678
4668,21987499
3847,20994259
5740,21007414
4698,21999602
3597,20971155
2074,20990051
6433,22019960
4809,21015239
4248,20988498
5881,22030961
5991,20995632
6613,21008736
6523,21980195
3346,20989641
4188,20997565
4198,22013689
5360,21017753
3677,20969633
2615,21990434
5811,21046328
6612,21018284
6022,21977069
4328,20979562
7564,21056556
4558,21952674
5951,21046938
6202,21010790
5110,21936473
5120,20995321
2675,20995612
3316,22005864
2394,20992696
4859,21052619
3106,21966139
4208,21036358
3837,21014187
4830,21990985
5249,20991665
4819,21004197
3957,21999372
4919,21000100
4428,20966667
5471,22048604
12864,20999329
6702,20955897
3547,21973923
2614,21001814
4138,21006542
3196,22000153
2965,20972288
5530,21051296
3046,21980095
4599,20989290
3287,21051867
2946,21947564
3476,21008146
3777,21043872
4428,21960819
2454,20990793
2455,20997835
4238,22072249
4037,20989220
3987,20998938
4268,22010553
3948,21006431
2545,20930930
2685,21999752
3957,20999860
3738,21014687
5791,22033486
4018,21010149
5009,21000031
4548,21994893
4097,21015529
4118,20946168
5460,22021313
3016,20954995
2234,21004208
6102,22025851
2786,20980954
2745,20998938
2965,21993411
8897,21109926
5480,20928486
4097,22033566
4108,20994990
2504,20940949
4057,22061749
4198,20987246
5741,21004378
4048,22011284
4528,20991504
2665,20947862
3166,22020661
4508,21040867
4158,20990001
2975,21956381
3527,20991313
5501,21049483
3457,21957393
3707,21002875
4458,21014137
5641,22061057
4779,20971998
4499,21005069
5581,21993370
4549,20997786
3507,20951859
4548,22045599
4428,21003837
3727,20994029
4097,22015612
4218,20988107
4148,21012534
4439,21987469
5109,20979572
3958,21036548
4268,21986638
3958,21007063
6061,20998297
2785,21949558
4638,21063159
4288,20983428
4899,21997719
4198,21011922
3536,20949375
5190,22038535
4458,21017513
4218,20984430
4328,21997138
4118,21001352
4138,21013085
