dur_ns,gap_ns
771,0
1293,21017801
1893,21994842
1092,20996191
802,21012822
1162,21993459
871,20996271
791,20994718
1293,22005962
772,21002132
772,21001411
812,22000963
812,20981994
1573,21013985
1583,22017133
1273,20986813
1283,21014365
822,21967039
661,21002704
761,21001972
641,21985824
631,21016048
641,20996161
641,21995042
641,20991051
611,21007993
662,21980434
612,21000439
1082,21024725
1473,21991074
1122,21003515
661,20986212
611,21994872
611,21002623
671,20998625
1593,22021011
1282,20994197
1493,21063868
1362,21942704
1373,20994467
1563,21005639
1614,21979963
1633,21051826
1382,20983698
1303,21991274
1864,21019445
1684,20991522
1623,22001775
1884,21004987
1633,21002854
1392,22000482
2995,21058288
4669,20938442
1423,21974703
1423,21009125
1292,20980382
1302,22004359
1352,21014766
1974,21012371
1423,22001003
1263,20996211
1232,20982556
901,21998869
1804,21042237
1372,20962498
2204,22004740
3016,21024434
1393,20976183
2154,22053773
3046,20974349
1483,20974390
1403,21986486
1172,21006390
822,20966485
881,22022564
1453,21015006
1773,20995340
1293,22006633
772,20974029
621,20997965
642,22015199
651,20986684
591,20995269
1984,22054183
1312,20981774
1072,20993977
1002,21999530
1262,21054731
1062,20945335
641,21978711
1192,21034534
1693,21070591
1413,21911183
1142,20984419
2525,21047257
1703,21983611
1092,20985410
1192,21004367
3987,22101352
1102,20887736
972,21004737
1202,22030329
1183,20977004
861,20995060
752,21995762
932,21002894
1964,21065882
1463,21955257
1633,21048941
1482,20931439
1253,21999790
1262,21012512
1132,20992304
902,22000271
1102,21000379
851,21010388
1453,21990373
2104,21019254
1212,20961346
1252,21994020
1342,21013744
1383,21020807
1433,22001714
1393,20985471
912,20980922
741,22015160
1153,21000689
751,20990441
771,22002275
811,20982626
801,21009516
1001,21986115
1373,21008874
801,21010789
752,22003828
762,21000880
761,20998095
761,21999460
862,21000539
752,21001150
752,21998258
861,20990070
982,20996712
762,22015660
1332,21008194
1153,20995249
711,21992688
721,20999407
932,20999617
631,22002867
741,21017942
742,21010197
741,21999671
1172,20987214
752,20986883
892,22017434
922,20999888
791,21003796
591,22018596
651,20955895
602,21007692
591,21996214
632,21003104
812,20998676
942,22005401
722,20989729
651,20997764
742,22011162
731,20984179
771,21016900
1123,21989631
1092,21000550
1233,21004476
1212,22030038
831,20976334
662,20989137
541,22016012
531,20999206
551,21001391
551,21998849
541,21002563
551,20979059
552,22019297
552,21006801
551,20993046
731,22012074
611,20991963
571,21008193
541,21992437
541,21000028
551,21012763
581,22016682
751,21008024
531,20969090
531,22076945
1082,20923986
612,20983206
551,21994271
551,21035715
551,20980943
551,21994560
551,21007102
541,20990801
912,22014919
561,21014285
1122,20996983
1102,21986716
851,20991783
3847,21189495
1914,21831002
1122,20999859
882,20988095
771,21981066
1092,21018883
1152,21010248
1422,21996505
3817,21072665
922,20913345
792,21999049
1994,21042959
891,20965123
751,21991435
751,21004226
952,21006040
651,21994581
691,21002863
561,20987405
561,22001434
611,20996291
541,21002242
3066,22071426
581,20942650
642,20991983
651,22024558
531,20980221
662,20999657
751,22005572
1092,20998375
1433,21012221
1613,21992417
1223,21006831
771,20978218
751,21996655
742,21000869
922,21004407
1132,21990894
1032,21011329
551,20994168
1422,22004079
1282,21010107
1022,20990330
811,22005632
1222,21035415
1072,20968509
902,21995081
841,21001001
1382,20996181
1603,22018015
751,20982916
741,20993867
721,22000582
772,21013483
731,20988888
1102,21984101
892,21016609
781,21000089
781,22009259
782,21001871
781,20999468
1693,22040647
831,20968900
621,20989839
531,21990714
792,21023562
1142,20983628
851,21988059
1562,21027520
2144,20993005
1683,22007164
1262,21001021
1373,20975832
1202,22024939
801,20975692
1552,21090920
881,21899111
1173,21008714
962,21012382
8787,22014358
1232,20997003
1203,20982545
1412,22014048
1312,20999888
972,20989398
592,21988980
952,21003646
882,21003975
632,21992417
631,20999317
892,21009657
531,21994791
691,21001211
541,21018763
541,21977369
531,21002833
531,20997204
541,22002034
731,20998907
751,21017010
762,22013326
761,21001241
761,21001722
752,21999259
781,20993727
741,21010077
902,21990994
742,21001561
751,21005409
732,21980464
6111,21021740
942,20973658
812,21995523
981,21000119
822,21008103
1814,22040828
1122,20956026
1383,21023332
1032,21963212
681,21017311
672,21002763
751,22002486
711,20991703
802,20989919
722,22010591
731,21002704
761,20991352
732,21999149
1753,21018974
2164,21017251
1914,22013817
2364,20984690
2816,21020296
801,21951921
1032,21007122
1473,21025826
1292,21992127
751,20987495
1412,21025927
1293,21997416
1723,20985391
1182,20988747
1473,22019468
10159,21051806
1693,20960424
1553,21980905
902,20985210
1744,20996732
1112,22001404
1172,20996592
1943,21005389
902,21988479
911,21002804
1523,21011770
1192,21992457
761,20994919
781,21002493
901,22000422
1513,21008664
1523,21021800
1413,21991254
1252,20985472
892,20983236
1924,22031921
1012,20972868
1543,21031518
1472,22001945
1223,20997202
1954,21034804
1092,21941441
1483,21034634
1222,20985601
1533,22004870
1473,20998305
1452,20993437
5641,22156495
1263,20840528
1112,21027320
1783,22005923
1704,20988105
1202,20991082
8546,21986035
761,20989599
992,21003294
741,21998539
861,21010568
2044,21057957
9338,21939097
1052,21004016
1152,21007192
741,22002145
1352,21019866
1252,20989238
1112,21992577
1122,20995951
811,21001581
811,22004450
751,21014245
731,20991272
732,21997536
742,21003034
731,20997885
731,22000522
832,20999978
1052,20983107
1783,22010541
1153,20995419
761,21005229
971,21996124
1082,21007542
1012,20992134
1753,22045557
1262,20966345
1232,20978548
1512,22047110
1182,20958009
842,20992544
852,22000542
5099,21093956
1242,20927993
1293,21994610
1052,20997324
