dur_ns,gap_ns
12363,0
13175,21004469
8025,21924241
7203,20912967
4478,20991234
9388,22043555
21300,21011082
8807,20987838
9979,22119949
10039,21017694
9488,20970245
10149,22024620
9808,21017254
12092,20926923
10189,22064164
9618,20995793
9007,20937062
50715,22027656
5510,20973220
20248,20934006
2956,21914643
2866,20996644
1463,21000412
3587,22017907
7535,21257716
3546,20714494
1873,21978944
3747,21013826
2124,21037962
4749,21999253
13335,21410103
8065,20619574
3967,21970558
5099,21006052
14457,21216528
7233,21956322
7083,20988279
9598,20857582
12393,22143254
10039,21018917
6843,20944516
14437,22033917
6762,20949927
9418,21033544
5580,22007979
4147,20970495
5711,21018856
14307,21998691
13114,21296770
11582,20677854
13636,22318343
6482,20727788
9268,21257565
5480,21734404
9859,21033333
10661,21004278
14437,22407141
6843,20517211
7334,21035388
5430,21983432
10069,21014107
3797,20905333
13405,22378106
7454,20680539
13656,21491957
7654,21549876
12574,21307449
14337,20988259
100209,21611612
9688,21169320
13415,20947892
6733,21971270
5380,20945949
15318,20971327
11732,22084622
14537,21280118
10029,20975915
14026,21730687
7614,20950387
5660,20924970
21921,22051460
6682,21014268
7294,20997666
21571,21988622
8657,21017544
23063,20983049
17784,21999162
21952,21000852
6753,20993509
11061,21962734
3967,20968862
12414,21036048
4820,22014551
4238,20972219
2956,20994650
6472,21991959
3296,21008958
6512,21013095
4448,21968364
9729,21143741
6322,20871830
3446,21977872
3647,21023335
9698,21190910
9799,22003009
9879,20979342
9618,20997847
9468,21984825
12814,21041559
11211,20989841
11932,21906127
63490,21087806
5420,20953544
10260,22064294
7614,20893982
10701,21110027
7724,21883505
12854,21018355
9428,21087234
11823,22022045
11472,21008026
12494,20976857
11882,22013089
7714,20898810
12032,21083959
11341,21975497
11502,21023124
11402,20991164
11362,21990386
11943,21003467
12152,21028355
12003,21966059
61305,20992447
14407,21350210
10920,21628264
8325,21006613
2494,20967099
2605,22004291
11763,21083568
11061,21003327
11311,21973274
11301,21005792
12363,21001063
12954,22010864
14447,20902578
12353,21107062
11652,22009691
11592,20973411
12473,20984091
10269,21946062
10430,21072246
10530,21016923
10290,21964747
10950,20996024
10550,20999289
10800,22005063
11441,21023385
10520,20984421
10851,22003981
11251,21024267
7484,20896656
10871,22082719
10961,21000772
6583,20848786
3917,21972222
12253,21184488
4819,20794805
4228,21982641
2765,21039024
8115,21072978
5961,21898763
12493,21208714
12053,20997205
8036,21909954
12112,21104959
8266,20888290
12493,22108258
11963,20968621
12734,21037251
12193,21908080
12814,21074822
13465,21013296
12143,21972902
12002,21018646
12404,20997696
12313,21996207
12493,20993649
12513,21006292
10099,21957934
12904,21049645
11462,20985914
11622,22033527
12553,20969243
11251,21034936
9799,21929711
16130,21034977
10881,21025308
9689,21978493
11672,20974834
74179,21048002
13235,22350573
12674,20630616
10209,20982858
8726,21879878
9198,21118313
13465,21391869
5149,21582147
11622,21017964
13074,21404934
12774,21991357
7664,20610888
11692,21051939
12634,21964546
7605,20886728
4298,20936251
6553,22015462
5661,21012204
6813,20972399
10230,22177558
10570,21010411
10499,21072117
11832,22305679
11141,20992797
6181,20581984
6903,22013449
13405,21243259
12583,20790226
9468,22004802
13044,20976246
16782,21017443
6622,21976129
1814,20913628
6252,21071155
13305,22249804
7223,20769377
13325,21491416
7454,21430381
6031,20982969
7814,21049524
5620,21893393
10319,21067438
4098,20919018
5932,22004171
3016,21011453
9739,21190810
10139,21943738
