dur_ns,gap_ns
4549,0
7193,21308416
2014,21346758
2855,21336979
4408,21365333
6172,21347228
18074,21652404
16401,21434342
14187,21239756
14106,21335227
8075,20997169
6883,21320509
6612,21327381
7043,21361596
8806,21333703
11462,21365763
16261,21626885
10319,20991860
4939,21332982
4509,21324175
8135,21359492
5040,21287486
8977,21337170
3727,21323714
2795,21319507
2745,21329275
2565,21353480
6031,21369541
8957,21331378
3166,21299740
3336,21319276
5120,21377465
8276,21343101
19998,21453318
10289,21261879
6412,21278178
12473,21407713
19456,21389779
20438,21584806
8345,20970860
9077,21304247
20549,21511478
9207,21174264
10821,21377645
4449,21272037
13766,21449221
9017,21238654
10951,21361586
6432,21285954
10510,21366374
13245,21353070
23073,21734989
21981,21402352
11351,20875621
21370,21892365
20939,21329175
19076,20793616
21701,21672030
18354,20986851
8727,21289129
8015,21316110
21210,21443330
11572,21262228
18985,21383648
9718,21252069
11100,21357238
14377,21494115
12073,21177048
2785,21254374
2675,21330086
21791,21935787
9377,20781444
10841,21359040
10991,21349523
20458,21398206
10009,21251858
9327,21310901
2635,21282466
2094,21329926
10299,21425697
10540,21319356
18445,21759676
10840,20910947
11762,21338893
22161,21426488
8346,21213136
2385,21272558
2054,21334695
2194,21334866
3957,21360864
10991,21382224
21811,21887707
10419,20755745
8356,21319787
14718,21403334
22722,21839276
13205,20872725
15088,21303697
23073,21652213
19236,21033418
20869,21379920
22121,21558356
22993,21421118
9968,20907020
22132,21702016
20889,21349213
18014,21659938
12724,20609579
16321,21393927
21611,21381563
5139,21189202
15810,21428571
10630,21286314
14878,21568656
10039,21062683
4479,21307644
21020,21800943
9698,20902111
10560,21351366
11351,21340627
21491,21726222
9738,20913673
18996,21414815
11421,21287908
14267,21320608
10700,21331810
21601,21423472
16932,21310169
8556,21241901
18605,21421799
14618,21310960
13235,21585317
7595,21139798
19968,21307464
11131,21261487
6041,21295402
10140,21365843
20779,21480530
7144,21182819
8236,21319046
19848,21513301
14797,21472185
12865,21047764
58630,21573135
12063,21131602
16801,21595096
19226,21373528
21952,21354402
21761,21600706
19066,20760063
20348,21353451
21781,21628659
21912,21339614
16321,21247922
14657,21396472
18114,21062562
11171,21251208
9318,21279261
10580,21382966
21020,21411510
5310,21205322
10920,21385811
11301,21319837
14397,22097842
10479,20576418
10509,21332962
21140,21974309
11382,20668260
10449,21360865
10359,21330347
9057,21324957
11061,21511407
6191,21123929
7935,21342389
13936,21404878
7845,21259403
5751,21309227
10489,21385932
5541,21291944
6112,21361526
5070,21301643
13145,21999587
10409,20964799
6873,21041643
13766,21406831
6091,21254675
7464,21332000
12924,21409486
7755,21290131
6192,21299248
7133,21349534
15910,21654056
7083,20990708
8907,21348691
8766,21340186
13606,21658384
13295,21357799
13225,21303236
7263,21000897
4398,21323784
9648,21375743
5892,21301552
5460,21326270
5761,21332190
4508,21336559
12353,21410608
12424,21475901
6092,21108259
4579,21337991
6322,21314888
5821,21329606
3627,21339905
2625,21319767
3066,21350926
4038,21336308
3808,21322582
2735,21333143
8335,21364271
4619,21311531
8987,21378337
3166,21282698
2545,21332370
3878,21354292
4829,21352710
3347,21283979
4388,21345656
2756,21323113
4449,21339865
6392,21337932
5691,21352989
8386,21693681
14447,21070037
4900,21228405
2685,21314397
6201,21346398
6793,21350274
8767,21320739
5190,21316050
14187,21711074
21681,21506539
22262,21238153
14808,21038869
17233,21268350
16080,21609523
20529,21417400
20839,21348261
14588,21221562
19586,21376184
20098,21095905
18415,21322242
10690,21254785
11892,21326229
19457,21663294
12403,20972934
3997,21315690
3156,21304879
7364,21353761
4879,21309437
2244,21320519
9899,21343942
4208,21337030
9177,21390771
6973,21297585
4398,21340927
3326,21329175
3125,21323935
2835,21319236
11612,21392083
4198,21296744
4018,21338532
10760,21386533
3126,21258672
8676,21384640
22141,21430355
12203,21247851
2985,21266748
10280,21416789
15849,21365404
6823,21249294
9498,21346067
4418,21322402
11070,21381754
3447,21262669
4719,21367287
5210,21322402
10409,21331690
20348,21755648
21781,21407041
10740,20852628
5511,21290351
3036,21320168
16030,21711986
20389,21367477
16371,21542246
13566,20812051
21190,21720051
19657,21311732
26671,21350404
12994,20981010
19166,21370052
21801,21374420
21701,21611666
11822,20920125
20719,21846279
21310,21455613
20148,21136090
22032,21504155
21650,21076139
19277,21059256
21050,21350385
18084,21276887
20548,22006460
21580,21004955
19807,21364801
20820,21361726
20359,21292276
15248,21464239
20499,21357758
19156,20910778
18294,21544290
20008,21484717
21130,21331740
20910,20947165
22202,21322102
21120,21332962
21751,21372056
21570,21653916
11883,20882674
20809,21680447
21170,21491791
18384,20870261
21521,21640921
15910,21399828
17633,21304559
10289,20961523
16781,21633588
10529,20990207
20669,21715161
20438,21448380
21430,21235639
18164,21317753
58330,21540012
13876,21563105
20168,20889107
20529,21326389
21140,21385441
20539,21285383
20018,21626113
13676,20986390
6091,21008401
5100,21303556
4729,21352860
