dur_ns,gap_ns
2645,0
1924,21340414
1964,21332369
1783,21322911
1062,21323312
952,21330665
982,21331207
912,21336977
1492,21332830
1112,21334182
1122,21338951
991,21323222
1022,21336756
992,21331848
1012,21334162
1001,21332049
1002,21333580
1002,21322410
1002,21345544
1001,21329584
922,21338029
1483,21364339
1964,21321628
1673,21325777
1162,21326197
1062,21320566
992,21339953
1042,21335615
1001,21332229
1022,21337548
992,21328772
1162,21327139
1723,21347247
982,21327419
1042,21333260
992,21309566
992,21353789
1082,21324404
1002,21342267
1002,21334804
1012,21332138
1002,21334162
1082,21336156
1954,21322981
1653,21347437
1042,21307452
992,21351344
1223,21335074
1002,21332399
1002,21331788
992,21334593
992,21334142
1012,21332789
931,21333121
1232,21334082
942,21334262
932,21331387
932,21333631
941,21334453
1032,21335444
982,21330065
962,21331767
972,21335986
3006,21359800
1112,21289939
962,21348028
1022,21333682
972,21336576
982,21332860
982,21331477
962,21335505
971,21329764
972,21335214
1112,21334733
972,21332449
1433,21316138
961,21348219
901,21335745
972,21324323
972,21341486
971,21331528
972,21368356
972,21298685
972,21334353
1001,21335515
972,21332168
1503,21342157
862,21325506
1794,21342237
992,21327911
902,21327459
881,21334754
892,21333961
882,21336557
892,21331447
912,21332519
881,21331678
972,21333230
972,21325546
902,21340384
1553,21350803
1192,21319465
972,21331437
981,21324334
972,21341265
1092,21333150
922,21323152
711,21329704
712,21333931
1222,21337449
721,21329323
711,21334453
712,21331206
711,21333922
711,21335144
692,21331577
721,21334283
711,21335084
741,21332078
721,21332389
712,21332368
721,21351115
702,21314905
711,21338000
701,21330475
721,21334613
712,21331948
731,21335435
702,21331627
691,21335425
712,21332368
701,21336557
702,21328291
1403,21357055
881,21319806
701,21324584
802,21335925
701,21329704
702,21333190
721,21326058
702,21343158
711,21322080
711,21343831
1322,21332018
701,21332509
722,21333180
692,21335835
682,21330876
711,21332259
981,21328522
971,21340935
962,21334763
972,21321719
892,21356213
902,21310608
972,21356394
972,21333501
981,21332500
982,21335644
1082,21311801
752,21329523
711,21344712
881,21334824
1032,21332058
751,21336757
732,21318382
721,21341697
741,21334062
732,21334893
771,21332760
742,21332208
742,21334553
742,21332359
731,21329183
751,21327049
731,21343941
751,21334843
1663,21345734
1102,21334433
1773,21351685
1242,21304196
1583,21353679
1493,21320055
852,21312251
722,21342488
681,21335285
1583,21339452
1172,21341776
972,21318673
701,21332520
741,21331387
711,21335114
701,21332980
702,21333300
701,21334223
691,21332729
701,21333141
692,21333370
711,21333411
701,21333892
692,21333260
712,21333561
711,21332019
711,21332539
701,21335765
691,21320767
691,21343570
691,21333992
711,21358779
712,21316448
791,21323633
711,21333301
742,21333340
742,21335735
721,21331618
732,21334302
742,21331788
751,21333902
742,21336777
751,21332229
891,21331287
832,21336115
732,21331688
721,21334864
1233,21346064
2665,21338681
1723,21323753
1583,21334182
2355,21328271
1864,21340855
2876,21336256
1744,21320867
1292,21329604
1543,21340564
1643,21326178
1653,21331367
2044,21349952
2124,21339863
2665,21332208
1773,21335816
2635,21332288
711,21310859
742,21334733
732,21334132
751,21332159
731,21335926
742,21329533
742,21337268
751,21393364
751,21272146
741,21334052
742,21332328
741,21333271
742,21331597
752,21334463
2445,21352236
2946,21335535
1964,21327921
1804,21314144
1653,21335485
2364,21350724
2174,21336116
2926,21350172
2134,21314335
3016,21349050
1884,21329664
1362,21317171
2054,21345924
1442,21326869
1924,21342988
2134,21344182
1713,21303324
3116,21350713
3397,21335595
1974,21326618
1724,21324464
3447,21355212
1563,21325536
1352,21326799
1293,21332659
1252,21333201
1944,21336817
1463,21322009
1122,21334914
1573,21344171
1132,21324354
1002,21331547
932,21329524
992,21335194
1001,21336718
1883,21338911
1192,21315427
2124,21361053
1853,21325586
2545,21317671
1913,21345554
1854,21331176
1813,21334193
3827,21365742
2274,21294798
1403,21338801
1814,21336767
3797,21357937
1082,21302453
1212,21334182
2695,21335725
2325,21354260
1393,21314596
1052,21324594
912,21337409
1102,21334072
1704,21339031
1292,21328342
1112,21330255
1122,21329263
1022,21334352
1002,21332149
1132,21333371
991,21335475
1041,21336056
1142,21334543
1593,21341275
1263,21329183
1353,21333110
1102,21328733
1212,21335174
1052,21330395
1032,21333571
992,21333652
1002,21332198
6903,21369249
1563,21304286
1182,21326067
1001,21332750
1282,21335034
1543,21341185
1262,21326909
1242,21364179
1482,21305198
1173,21327008
1142,21335365
5961,21400978
1443,21267467
1914,21334613
1002,21331127
981,21333872
1052,21332679
982,21333411
1764,21337869
3066,21349912
1102,21309797
871,21334974
1022,21332579
972,21332900
1022,21334122
972,21331808
1012,21336016
1383,21336817
1292,21333041
1142,21331788
982,21330986
1022,21334052
1032,21333301
1092,21333952
962,21331838
1032,21332529
1122,21324564
1262,21345805
1102,21331216
962,21332319
971,21332610
1202,21333671
1011,21334243
1302,21323332
2264,21348339
1022,21330926
1904,21376181
6242,21330175
1122,21294037
2665,21339352
1373,21315487
1002,21344953
1092,21335946
1272,21321639
1252,21348349
1112,21321448
1152,21341216
1332,21335535
2745,21340464
1192,21327811
2144,21348669
1954,21326057
1392,21322381
1402,21327129
1914,21352166
2796,21345814
1142,21310608
1313,21340825
2325,21344612
1052,21308424
1002,21333391
3116,21359520
3366,21334784
1172,21311870
1242,21330686
1051,21332600
3386,21367615
1072,21296682
2905,21354150
1272,21317461
1082,21325345
4278,21373447
1833,21304637
2424,21338380
1833,21328552
2294,21340234
2014,21328381
3868,21353298
2555,21318934
2665,21346355
1072,21302794
971,21332289
2534,21360973
1673,21299126
2805,21355232
2725,21336056
1803,21334944
1693,21327490
1062,21319505
881,21333902
932,21330625
932,21332890
932,21334243
992,21337338
1062,21331768
881,21330015
982,21333240
991,21339283
1283,21335394
922,21328612
1022,21312171
872,21344672
872,21343891
862,21331487
901,21332861
1082,21336226
872,21331327
871,21333381
992,21331257
992,21334813
1002,21332389
1373,21345404
1102,21319134
982,21340665
862,21329894
4318,21351375
1223,21317601
1012,21328282
1283,21347096
1512,21333482
1193,21328060
2245,21345103
1914,21306771
1793,21346015
1563,21308674
1563,21346857
1923,21361524
1543,21297253
1783,21367846
1903,21321328
3256,21343931
1252,21303765
1853,21356725
3406,21333381
1603,21313483
2455,21330085
1143,21333651
1563,21338100
2104,21339523
1623,21342057
1443,21341687
1663,21322100
1794,21317370
1323,21336497
1403,21328021
1122,21325476
1312,21333622
2145,21350773
1002,21318864
932,21333852
1914,21348419
2003,21342699
912,21311379
2214,21339743
1212,21327500
992,21331678
992,21331778
981,21333842
1001,21334924
2304,21343149
1583,21332449
1934,21319144
2094,21347388
1874,21355392
1983,21333211
1683,21332359
1493,21331617
1453,21331728
1483,21334764
1673,21324204
1713,21316689
1904,21336737
1893,21328312
962,21334944
1322,21336437
1102,21342297
2495,21341366
2214,21327290
1232,21321218
2254,21344282
961,21316900
991,21331177
992,21333240
992,21332489
992,21333822
981,21334003
991,21333351
1042,21324554
992,21341396
1092,21355092
1052,21319936
1001,21344001
1042,21332208
1112,21332640
1292,21337088
1302,21334864
1252,21321288
1363,21346696
1052,21327650
1042,21332700
992,21331968
992,21332870
1002,21334734
982,21332700
992,21333982
1813,21346045
1463,21302943
1182,21352347
1733,21335716
1593,21338510
1112,21326238
2164,21344973
2294,21334132
2625,21357967
2635,21311590
5931,21347268
1633,21306079
1072,21329233
1933,21337279
1854,21349711
992,21311510
1363,21343350
1362,21336397
1322,21325917
1342,21338541
1312,21329173
2454,21355693
2555,21324464
1353,21307452
1904,21342368
1784,21334042
1683,21324795
1012,21328332
1513,21341556
1242,21328973
2194,21350363
1463,21326398
2104,21344843
1092,21308734
952,21334714
972,21330465
912,21334473
921,21331889
1032,21333681
972,21333602
1483,21334633
1693,21336257
982,21327389
982,21333552
1002,21332379
981,21333772
1723,21341035
1102,21331067
992,21330856
1222,21348700
1162,21323162
1183,21330565
1893,21329254
1062,21338941
982,21328422
1192,21329003
1162,21344672
1743,21335716
1273,21320516
1252,21344332
1623,21334383
2284,21333221
1523,21332369
1402,21330486
1743,21336697
1874,21330525
1643,21340305
1332,21348730
3327,21336526
1473,21314246
2064,21333621
1633,21321188
1413,21345424
1593,21339002
2225,21344832
1864,21307683
1082,21321930
1052,21354590
1582,21323784
1292,21346806
3026,21331718
1312,21319435
1613,21353729
1783,21333822
1283,21323362
931,21335716
1082,21330375
1002,21332660
1012,21333912
1292,21323072
1032,21332379
992,21344842
1012,21333732
1002,21331868
1002,21332219
2585,21361053
3056,21336497
872,21303545
902,21336046
1382,21335145
1312,21328512
1012,21327099
842,21329724
751,21331528
781,21337529
701,21333040
712,21331387
721,21339603
712,21329183
711,21332520
792,21331818
741,21333201
861,21335465
722,21330876
762,21331638
701,21333672
701,21333401
812,21340264
1713,21357086
1212,21326348
1222,21340544
992,21304236
812,21331217
992,21336307
992,21327510
1292,21336237
982,21340925
1072,21325446
1744,21347838
1563,21329995
992,21330987
1202,21334643
1613,21338070
1503,21331167
1182,21316540
872,21327960
1283,21340645
3327,21357867
2575,21328452
1452,21327160
1002,21313203
1072,21341356
1042,21333611
1042,21333612
1002,21332740
1002,21332379
1673,21354281
821,21307943
992,21343440
2875,21340344
2244,21342769
1743,21327510
992,21318563
992,21333141
991,21335405
1432,21334383
962,21346876
1022,21318754
972,21332990
962,21338561
962,21343290
961,21328853
962,21335314
972,21334594
1342,21337439
982,21327299
962,21332860
971,21334484
972,21331928
961,21332009
962,21336136
892,21331357
1032,21322872
962,21349010
962,21332279
1283,21335415
1733,21347448
1683,21322380
1303,21329123
2414,21355333
1924,21331397
1884,21316329
1743,21326649
1373,21327580
1213,21333401
1132,21331598
982,21341226
1373,21336757
1203,21331177
1353,21337950
1773,21324765
1513,21342588
1332,21334524
1262,21308795
2093,21374679
2094,21320166
1813,21319014
1703,21332359
3537,21367405
3576,21340485
2274,21326929
2174,21323653
1703,21328572
3436,21333752
1212,21311089
1262,21333441
932,21331568
4719,21404545
1874,21267547
771,21318293
1172,21345765
1543,21340724
1323,21326148
1092,21336197
1333,21344842
1373,21316309
1423,21328793
2043,21359741
1443,21308424
1082,21337930
1273,21349100
1623,21334624
1694,21329824
1463,21341066
2104,21325807
1824,21320076
2385,21330666
1623,21341807
981,21319656
992,21332349
1022,21333030
912,21321058
1002,21342649
992,21335635
1012,21320577
1002,21344142
992,21333621
1563,21323313
1453,21338460
1994,21342609
982,21345023
1262,21313394
2444,21353549
992,21332890
1272,21338501
1282,21334253
1042,21325696
1052,21337329
992,21330886
1002,21334884
1332,21317562
2455,21365241
2976,21335846
1674,21319665
3386,21325998
1113,21319354
1022,21333221
3156,21359661
1192,21311971
3347,21367966
1643,21300520
1042,21340594
1643,21342138
1703,21333592
2295,21332569
1683,21322441
1944,21327951
1223,21333972
1333,21334874
1522,21355203
1804,21337308
2745,21339804
2114,21326618
2555,21340034
4058,21346566
2765,21312532
2925,21337419
3086,21345554
2886,21312341
1402,21328593
1944,21327289
1823,21333492
2184,21349882
3045,21314496
3076,21351445
2775,21315808
3246,21353048
1914,21312983
2304,21342158
1913,21335295
1703,21319625
1994,21329564
1322,21326388
992,21336146
992,21329344
1112,21337098
1503,21330085
1272,21337970
1232,21331037
1342,21347498
1273,21326077
1032,21325777
1112,21346747
1032,21437727
992,21228504
1002,21330596
1703,21347418
1152,21327951
992,21324314
992,21334483
922,21332880
992,21333752
922,21322992
961,21344042
1192,21334864
1352,21324464
1022,21330836
1042,21328963
4348,21373217
1953,21301952
1944,21341055
731,21320658
711,21330746
741,21336918
712,21331367
711,21331468
691,21334203
671,21332850
711,21334283
692,21331898
711,21332490
701,21334303
731,21334373
741,21331007
1182,21335315
732,21333100
902,21334123
791,21333562
712,21331968
701,21336067
741,21332359
732,21331968
741,21334604
741,21331979
732,21334753
752,21335796
741,21329765
711,21326889
1122,21344202
1032,21329654
1503,21334343
1072,21330365
1062,21332249
1192,21353530
1362,21316209
1883,21321589
1162,21342198
2094,21346245
1032,21320307
1462,21335836
1213,21330445
1163,21333732
1462,21331759
992,21334092
1623,21369550
1282,21302082
1372,21332991
1172,21343851
2925,21363588
2786,21324193
1062,21303876
992,21330085
932,21343671
1062,21324364
912,21326759
741,21334253
681,21339062
701,21329795
932,21338641
2414,21351335
2345,21333020
1133,21315658
791,21330747
1042,21353098
2033,21331478
751,21314836
772,21332840
722,21330115
1132,21341116
781,21333462
712,21326177
692,21337449
701,21331278
721,21339042
682,21326488
691,21334123
821,21335756
722,21330916
922,21334263
761,21332340
722,21343209
942,21327240
811,21331909
921,21346456
862,21332419
932,21330947
922,21332640
1062,21324765
932,21342458
1192,21330236
731,21324835
1313,21340755
912,21344953
1302,21317161
1783,21345935
1262,21329905
1873,21332289
771,21322160
922,21333922
711,21335596
732,21327630
711,21338121
711,21332379
872,21324174
701,21342008
701,21335485
711,21330706
711,21333572
691,21331738
692,21333982
671,21331538
4779,21385740
1293,21291212
731,21325988
771,21331077
751,21340324
712,21329714
