dur_ns,gap_ns
3136,0
2986,21318736
14196,21470854
11983,21349013
12363,21304791
12013,21334035
12343,21577134
9437,21037888
14297,21629111
8406,21059699
8496,21581732
12263,21501020
12053,21171399
12093,21356518
9698,21455574
12343,21205063
12534,21345677
9157,21389711
12233,21264885
14016,21361207
12233,21322323
13556,21067013
5750,21251621
3617,21321812
2956,21324317
2585,21329197
12092,21701728
11893,21321501
14657,21361528
9007,21473989
12133,20985529
14477,21538040
12263,21338213
12474,21305091
12663,21088985
12243,21601819
12964,21246571
14186,21397846
12333,21358702
8736,21265707
12633,21379451
5240,20980870
2244,21318076
3808,21356427
17213,21803009
16030,20946095
12524,21359513
17132,21730923
14047,21201436
16962,21395682
19587,21010497
13976,21588194
12784,21048588
4298,21252612
12493,21449243
17914,21356537
16932,21566794
16982,21343092
16611,21385844
17273,21332973
16721,21278181
19316,21365345
19306,21371796
19817,21003133
7825,21236582
7965,21329657
9558,21391344
16420,21650071
13055,20980399
14979,21337542
5581,21292227
3367,21323185
3877,21319459
7213,21397705
6251,21311804
13425,21772811
17102,21416171
16982,21246741
7604,20922251
16351,21683743
17603,21077724
13666,21347951
17412,21868773
17443,21115214
18034,21561082
10890,20643496
14217,21929797
19837,21214090
13024,20967946
15990,21796116
17323,21182019
17452,21286707
15870,21411190
16891,21246151
15309,21310240
9107,21021668
14296,21610346
13926,21366506
17874,21456526
13706,20944933
14848,21599876
12905,21046314
16250,21647376
15699,21334326
11462,21021206
16792,21591210
19277,21454132
14347,21263794
18114,21386514
19066,21282989
17212,21605958
17513,20786214
19166,21594977
16461,21466214
13665,21168675
17263,21440505
16832,21481253
16220,21116857
17583,21401753
17863,21762192
17513,20893936
17513,21037809
19247,21689454
17884,21218819
17844,21386845
14708,20989667
17413,21645262
18565,21362879
18755,21570371
10009,20728105
17152,21395421
17893,21705044
18856,20977494
16952,21665540
16942,21400982
17823,21227415
18595,21258794
18675,21401292
16972,21285154
15930,21469380
17733,21608662
17493,21174415
17082,21138047
10219,21590198
17823,20753072
18165,21626706
14157,21010396
12573,21774496
7864,20842290
15489,21685086
17964,21340668
17273,21336520
19216,21636135
10870,20703238
19407,21432520
17584,21577685
18836,21308668
17172,21513494
17583,21332663
17823,21142916
16361,21363822
18806,21496942
18845,21142856
10139,20984377
10179,21333765
14287,21657916
19016,21394840
16882,21444513
12554,20865644
16140,21731664
16260,21450786
10369,20813285
9979,21333454
15520,21338023
16381,21644140
16251,21149768
15879,21691129
18305,21299209
8085,20838503
17342,21696398
15689,21343243
19617,21327253
7804,20960082
14527,21782790
12543,21596751
16741,21315921
15399,21047997
19577,21301585
16090,21545083
6282,20749355
8496,21328115
11622,21833015
17924,21202397
13195,21017570
14157,22035186
15500,20952938
16030,21094625
13104,21261970
9558,21285775
16300,21684215
16260,21544973
14758,21375203
9758,20781205
13545,21795715
15409,21189803
12113,21036155
11241,21968150
13124,21005307
16040,21424706
16331,21214731
16180,21382608
17954,20909947
14377,21422411
14257,21498125
16431,21606839
17433,21172972
15580,21592362
16451,21137887
19216,21527650
16611,21132036
15659,21296925
13966,21024222
12523,21318537
13676,21351979
16421,21884492
7354,20749375
12353,21365876
15950,21883991
18665,21075849
16661,21080258
15128,21334747
11461,21705966
6412,20851938
3687,21304520
24827,21712588
18455,21349444
18214,21725874
14557,20601817
13977,21619022
18335,21376576
17333,21387366
11362,20972425
17834,21894150
17724,21130633
17714,21283731
17433,21583005
18254,20980580
10329,21109543
19326,21672132
16952,21385322
14818,21245429
17503,21666562
17763,20767369
20168,21584457
16952,21338785
17463,21383629
